,annoyed,anxious,confident,desperate,frustrated,happy,interested,relaxed,satisfied,surprised
0,84.96791712095703,43.012584257101466,26.231861000663,50.55930216568462,78.70101462894702,39.32614452299008,62.29048027339104,30.043175263119867,22.259164525060214,36.393498326625256
1,43.349203093814175,24.792286124464017,83.61372185177483,25.25033923612686,45.31525096644702,51.97386655748086,89.01437415469141,58.19064373527553,66.78563282069302,23.997878218270017
2,62.730409170679096,28.81185709328783,68.01879399913705,30.848076959394184,54.26833923078734,31.31391247607371,61.9033628421865,49.75126304415607,45.673228615704815,22.208545336150113
3,46.02710383272472,20.26501037390402,74.23780597765486,20.416481094741606,39.417787675739156,49.6509276896108,71.73513878334487,57.36203136435962,57.38428737643357,21.196250780293575
4,68.76514759162113,35.45145910821717,65.33337845606967,41.245945291388196,58.573052397536294,31.970227360839317,53.9740093885792,57.10659161731528,41.23704264989615,26.0098069132762
5,64.27890253151456,33.28671834962586,62.1098674525318,37.52165148390648,59.409199939456244,41.11888831047943,69.15816228810085,57.20234526348906,54.208192301401546,22.146962020619057
6,47.73469533092451,19.835917320131514,88.59204761954088,20.272372997937886,41.46588062051316,51.299004617483504,70.05215932576925,55.091959167671064,47.840021852125474,22.908103950446467
7,79.35533005800004,58.28346584018796,21.9655467970901,44.023696507411906,73.02981794050055,22.33528717941772,62.661892260398524,27.77307795229944,7.5215498292897,40.15246922297553
8,84.30728897945731,23.771268097064905,44.749099950252656,51.899892717531735,73.35389778618524,13.888992428757142,60.031780740855986,47.735962952980685,31.63578857025475,42.715934607779296
9,61.127035755616724,44.07269819842216,73.31103947952485,51.05190485733815,73.71971442377028,25.625596717970062,90.88195328906036,54.81920307285931,49.122231265079094,30.86008753728797
10,68.00959372817924,42.35552423067716,53.91153922906611,41.76225527010234,75.80062936262016,30.86968545626459,37.379686525205216,33.64511953319125,13.315006276229525,32.09228663414619
11,81.58727438545277,38.88848075836631,45.48152292242041,46.26912369461855,70.45834014189055,17.347279306096084,66.20165216067198,42.043720580460445,30.445683296761274,35.31874903752435
12,47.30580065526354,32.597587900156356,62.97518756833142,29.491111002106525,62.39302272706126,54.73670018291858,60.49215567774318,61.1906952690395,48.239007768378,25.648119341429343
13,57.9974054995138,31.876702725509592,63.29564502793549,29.36686506780213,66.32810889146029,32.69718825955542,58.14221976404992,53.69325780732484,43.998473690461864,32.83949026274916
14,55.47480105280186,32.852929704782426,51.069559657880404,46.798974707446405,70.08807411851464,42.33048309812918,43.30048037902978,31.825016029428497,33.56108281459491,27.636903016989613
15,56.894360455057395,34.791213572004395,69.98733724941692,26.55407399719057,48.11461394406532,39.16004857235832,87.93887102923946,58.99629165528647,43.92636808408659,26.323883950208806
16,58.16687968861783,27.13654462622451,98.19933143213166,24.97243550123894,26.73438056625772,56.24814975372285,111.71784371374099,69.4976884480659,61.41188233776262,17.286980365268178
17,46.811514537510746,31.31196223303093,61.62367007280484,25.35218504278982,47.51062145089482,50.47427584321295,67.55525363221426,51.745650446514745,39.10151588689549,31.389653163991813
18,71.98812526341989,41.99115031092376,33.3983357767568,44.587510724484495,75.15195444458087,18.04805328009064,48.03675530117064,28.014749138898825,13.807336663021104,33.22695502240367
19,67.51764069237514,44.62098005992071,33.104447719991725,43.98222232701754,79.06683153986329,28.31746307353226,58.211232693494644,28.15604537213001,14.64434062673038,50.71897784807925
20,62.7292365366164,26.807644359149755,48.36585603471481,30.690888030171294,49.323036689642926,43.27778638904262,40.47306692752242,52.71654772952274,47.92457271224757,38.770374748602265
21,45.504779248305034,29.917483965571233,55.30496115751402,35.50836020524758,60.79877960429358,43.12307605455685,72.57850784696726,53.207335447826985,45.75199549715443,24.077137026411723
22,42.46450107578827,30.324717524400732,57.99759025947242,32.56096097063615,59.40442171252197,29.02078379847098,57.36345396860902,51.302833545777915,37.69772881956273,21.909112610631148
23,66.82050552684876,35.82931915246674,30.141255235440784,35.65126122768501,45.09893071547852,40.451489584451444,69.7699069905238,46.444004260535365,40.622918158288286,42.782224488354856
24,78.39143830966707,42.47328369385289,27.22209823600489,45.64126258027852,79.2833582193229,23.023458293198363,53.89130368385544,22.729824551235872,7.823374302973786,67.14804479045844
25,70.1090626962895,39.625358457545275,28.529178993860523,32.86249754972802,59.68525410311933,34.672530869309256,52.83742271514747,39.00200606429273,26.323967411789017,38.801860725643174
26,57.20016188526528,32.41754615374268,75.29487550975638,31.042253779783692,50.08980410906227,49.31079399937768,72.59976912323296,56.19207686577685,47.630055170076254,29.644689570980916
27,74.30151124634122,49.88652381244525,29.03153486087027,46.80229701906226,76.84486559437815,24.608274817740437,49.456662996446205,25.29560392558931,6.7302265315832095,65.09062813525462
28,70.6734750040481,41.80755701997454,28.52912031815122,44.85384984843983,64.12632535595915,41.86547273653667,64.55247606127935,30.878566371279433,11.767373072731399,52.10047130707091
29,73.38312982961203,43.95617797642821,27.83771804075876,53.09617077047182,71.43066530859392,31.373497874523103,66.12521122814826,31.094458723546005,14.870547714170277,55.01489880980426
30,71.745218686137,41.92277195915294,33.74489889441093,41.752049399172535,61.91750382141115,29.806540711404658,54.7793223797821,27.463766478787303,30.459061772007075,43.55086753341458
31,64.55085033928053,53.73056920295633,21.922780863429452,51.01133856890222,81.85284739697522,22.04901767360964,46.99256302477073,16.756263285297116,7.268055978365496,77.01875687798888
32,61.949016598510774,53.13750557186658,23.792753335923013,54.13264172876592,88.51218943953161,24.41718278459445,55.39031035916992,18.180672722664823,4.05845074081148,72.2157261144547
